;Substance;code;primary_code;Lvl4;Lvl3;Lvl2;Lvl1;Class1;Class2;Class3;Class4
4824;niclosamide;P02DA01;P02DA01;P02DA;P02D;P02;P;Antiparasitic;Anthelmintics;Anticestodals;Salicylic acid derivatives
6723;moxidectin;P02CX03;P02CX03;P02CX;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Other antinematodals
5886;pyrvinium;P02CX01;P02CX01;P02CX;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Other antinematodals
1207;ivermectin;P02CF01;P02CF01;P02CF;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Avermectines
2101;levamisole;P02CE01;P02CE01;P02CE;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Imidazothiazole derivatives
3821;pyrantel;P02CC01;P02CC01;P02CC;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Tetrahydropyrimidine derivatives
3464;diethylcarbamazine;P02CB02;P02CB02;P02CB;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Piperazine and derivatives
3398;piperazine;P02CB01;P02CB01;P02CB;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Piperazine and derivatives
4019;fenbendazole;P02CA06;P02CA06;P02CA;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Benzimidazole derivatives
3896;flubendazole;P02CA05;P02CA05;P02CA;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Benzimidazole derivatives
6529;ciclobendazole;P02CA04;P02CA04;P02CA;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Benzimidazole derivatives
1548;albendazole;P02CA03;P02CA03;P02CA;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Benzimidazole derivatives
3232;tiabendazole;P02CA02;P02CA02;P02CA;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Benzimidazole derivatives
2060;mebendazole;P02CA01;P02CA01;P02CA;P02C;P02;P;Antiparasitic;Anthelmintics;Antinematodals;Benzimidazole derivatives
4110;triclabendazole;P02BX04;P02BX04;P02BX;P02B;P02;P;Antiparasitic;Anthelmintics;Antitrematodals;Other antitrematodal agents
5860;niridazole;P02BX02;P02BX02;P02BX;P02B;P02;P;Antiparasitic;Anthelmintics;Antitrematodals;Other antitrematodal agents
6471;bithionol;P02BX01;P02BX01;P02BX;P02B;P02;P;Antiparasitic;Anthelmintics;Antitrematodals;Other antitrematodal agents
5435;oxamniquine;P02BA02;P02BA02;P02BA;P02B;P02;P;Antiparasitic;Anthelmintics;Antitrematodals;Quinoline derivatives and related substances
2674;praziquantel;P02BA01;P02BA01;P02BA;P02B;P02;P;Antiparasitic;Anthelmintics;Antitrematodals;Quinoline derivatives and related substances
2462;miltefosine;P01CX04;P01CX04;P01CX;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Other agents against leishmaniasis and trypanosomiasis
2448;eflornithine;P01CX03;P01CX03;P01CX;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Other agents against leishmaniasis and trypanosomiasis
1208;pentamidine;P01CX01;P01CX01;P01CX;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Other agents against leishmaniasis and trypanosomiasis
4988;acetarsol;P01CD02;P01CD02;P01CD;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Arsenic compounds
6698;melarsoprol;P01CD01;P01CD01;P01CD;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Arsenic compounds
3498;nitrofural;P01CC02;P01CC02;P01CC;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Nitrofuran derivatives
3932;nifurtimox;P01CC01;P01CC01;P01CC;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Nitrofuran derivatives
3849;sodium stibogluconate;P01CB02;P01CB02;P01CB;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Antimony compounds
2739;meglumine;P01CB01;P01CB01;P01CB;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Antimony compounds
4877;fexinidazole;P01CA03;P01CA03;P01CA;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Nitroimidazole derivatives
3182;benznidazole;P01CA02;P01CA02;P01CA;P01C;P01;P;Antiparasitic;Antiprotozoals;Anti-Leishmaniasis and trypanosomiasis;Nitroimidazole derivatives
4763;halofantrine;P01BX01;P01BX01;P01BX;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Other antimalarials
2897;sulfadoxine;P01BF09;P01BF09;P01BF;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Artemisinin and derivatives, combinations
4191;piperaquine;P01BF05;P01BF05;P01BF;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Artemisinin and derivatives, combinations
2577;lumefantrine;P01BF01;P01BF01;P01BF;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Artemisinin and derivatives, combinations
6425;artenimol;P01BE05;P01BE05;P01BE;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Artemisinin and derivatives, plain
3315;artemotil;P01BE04;P01BE04;P01BE;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Artemisinin and derivatives, plain
2417;artesunate;P01BE03;P01BE03;P01BE;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Artemisinin and derivatives, plain
2576;artemether;P01BE02;P01BE02;P01BE;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Artemisinin and derivatives, plain
3892;artemisinin;P01BE01;P01BE01;P01BE;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Artemisinin and derivatives, plain
1713;pyrimethamine;P01BD01;P01BD01;P01BD;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Diaminopyrimidines
1951;mefloquine;P01BC02;P01BC02;P01BC;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Methanolquinolines
1048;quinine;P01BC01;P01BC01;P01BC;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Methanolquinolines
1627;proguanil;P01BB01;P01BB01;P01BB;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Biguanides
3400;tafenoquine;P01BA07;P01BA07;P01BA;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Aminoquinolines
3869;amodiaquine;P01BA06;P01BA06;P01BA;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Aminoquinolines
2592;primaquine;P01BA03;P01BA03;P01BA;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Aminoquinolines
118;hydroxychloroquine;P01BA02;P01BA02;P01BA;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Aminoquinolines
1247;chloroquine;P01BA01;P01BA01;P01BA;P01B;P01;P;Antiparasitic;Antiprotozoals;Antimalarials;Aminoquinolines
2123;nitazoxanide;P01AX11;P01AX11;P01AX;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Other agents against amoebiasis and other protozoal diseases
4193;fumagillin;P01AX10;P01AX10;P01AX;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Other agents against amoebiasis and other protozoal diseases
5126;dehydroemetine;P01AX09;P01AX09;P01AX;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Other agents against amoebiasis and other protozoal diseases
5675;tenonitrozole;P01AX08;P01AX08;P01AX;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Other agents against amoebiasis and other protozoal diseases
5460;trimetrexate;P01AX07;P01AX07;P01AX;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Other agents against amoebiasis and other protozoal diseases
941;atovaquone;P01AX06;P01AX06;P01AX;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Other agents against amoebiasis and other protozoal diseases
2657;mepacrine;P01AX05;P01AX05;P01AX;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Other agents against amoebiasis and other protozoal diseases
5233;phanquinone;P01AX04;P01AX04;P01AX;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Other agents against amoebiasis and other protozoal diseases
6093;emetine;P01AX02;P01AX02;P01AX;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Other agents against amoebiasis and other protozoal diseases
6575;difetarsone;P01AR02;P01AR02;P01AR;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Arsenic compounds
5671;teclozan;P01AC04;P01AC04;P01AC;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Dichloroacetamide derivatives
3521;diloxanide;P01AC01;P01AC01;P01AC;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Dichloroacetamide derivatives
2758;secnidazole;P01AB07;P01AB07;P01AB;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Nitroimidazole derivatives
4366;nimorazole;P01AB06;P01AB06;P01AB;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Nitroimidazole derivatives
2524;ornidazole;P01AB03;J01XD03;P01AB;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Nitroimidazole derivatives
2230;tinidazole;P01AB02;J01XD02;P01AB;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Nitroimidazole derivatives
295;metronidazole;P01AB01;J01XD01;P01AB;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Nitroimidazole derivatives
4628;tilbroquinol;P01AA05;P01AA05;P01AA;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Hydroxyquinoline derivatives
4186;chlorquinaldol;P01AA04;P01AA04;P01AA;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Hydroxyquinoline derivatives
3347;clioquinol;P01AA02;P01AA02;P01AA;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Hydroxyquinoline derivatives
5767;broxyquinoline;P01AA01;P01AA01;P01AA;P01A;P01;P;Antiparasitic;Antiprotozoals;Other anti-protozoals;Hydroxyquinoline derivatives
3953;zotarolimus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5337;zosuquidar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3165;zolbetuximab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5181;zolazepam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2906;ziziphus spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
5696;zirconium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5072;zinostatin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1581;zingiber spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
6212;zinc bromide;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2318;zileuton;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6333;zibotentan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4546;zeolite;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3713;zea spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
6880;zastumotide;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1988;zanthoxylum spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
6332;zanolimumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2724;zaltoprofen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5695;zabofloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4513;z 100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4030;yucca spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3223;yttrium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6879;yellow phenolphthalein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3581;yeast dried;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5694;xylose;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4703;xylooligosaccharide;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2720;xylitol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5462;xylenol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3924;xylene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2918;xylazine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5349;xylanase;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5693;xinmailong;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5692;xevinapant;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5336;xentuzumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1089;xantofyl;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6511;xanthium spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4139;xanthan gum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6588;wrightia spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
2793;wool;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2735;wolfiporia spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
6877;wnt-973;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3107;withania spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3184;whey;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4205;wax;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1031;water;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5335;voxtalisib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5461;votumumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6876;voruciclib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4246;vorolanib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2690;vorhyaluronidase alfa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5071;vopratelimab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4062;vonicog alfa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6330;volociximab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4012;volasertib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6875;vocimagene amiretrorepvec;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2578;vitis spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
6329;vitexin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5479;vitellaria spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3751;vistusertib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6327;visilizumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3604;viscum spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
5689;viomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6828;vincetoxicum spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
5364;vigna spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4915;vicriviroc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6416;vicia spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3989;viburnum spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
2490;vibegron;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6873;viagenpumatucel l;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5095;veronicastrum spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4684;verdiperstat;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3616;verbena spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4683;verbascum spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4950;veratrum spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
6699;veratrol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6325;venglustat;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6872;velusetrag;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5180;veltuzumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4245;veledimex;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6871;vein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4345;vedroprevir;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5334;vatalanib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5928;varronia spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4244;varlitinib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3519;varlilumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4914;vanutide cridificar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5927;vanucizumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4913;vantictumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3278;vaniprevir;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6368;vanda spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3959;vanadyl sulfate;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5688;vamorolone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5687;valtrate;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1800;valeriana spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4029;vadimezan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3721;vadastuximab talirine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
785;vaccinium spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3609;utomilumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6869;uterus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5925;usnic acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6324;usnea spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3443;urtica spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4378;ursolic acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5070;urogastrone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4330;uridine triphosphate;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6034;urethane;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5363;urena spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
2880;urelumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4088;urea-cresol-sulfonate sodium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2465;urea hydrogen peroxide;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2146;uracil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3879;uprosertib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6323;uprifosbuvir;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
286;unspecified;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5069;unithiol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2253;uncaria spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4682;ulocuplumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3367;ulmus spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4437;ulixertinib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4275;ufenamate;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1751;ubiquinol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3386;ubenimex;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3811;tyramine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6405;typhonium spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
6868;tybamate;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5186;tussilago spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4801;turnera spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3530;turin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6322;tungsten;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5179;tumor necrosis factor, unspecified;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5923;tumor necrosis factor receptor - igg2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6867;tumor necrosis factor receptor - igg1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6866;tumor necrosis factor alpha;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2961;tucidinostat;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6865;tti 621;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4912;tropolone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4994;tropaeolum spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
5068;tropacine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6864;troclosene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3510;triticum spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
5922;tris-acryl gelatin microspheres;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5332;triptolide;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4512;tripterygium spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3657;tripamide;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6319;triolein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4846;trimetozine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1809;trimethylphloroglucinol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4203;trimeperidine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5023;trimegestone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3952;trimecaine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3361;trigonella spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
2175;triglycerides, unspecified;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4043;trifolium spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
6862;triethylene glycol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5685;tridecanamine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4984;triclocarban;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6318;triclobisonium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5178;triciribine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4328;trichosanthes spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
4845;trichlorofluoromethane;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3624;trichloroacetic acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6861;tricaine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5921;tribuzone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4473;tribulus ssp;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5331;triapine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5604;triacetonamine tosilate;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3950;triacetin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5458;tretamine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2911;trenbolone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5014;tremella spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3742;trelagliptin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2821;trehalose;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3586;trebananib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3923;transfer factor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4440;trans-galactooligosaccharide;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2875;tranilast;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5457;tramiprosate;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3974;trametes spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
5684;tradipitant;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5390;trachyspermum spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3958;trace elements, unspecified;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6859;tpiv 200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4066;toxicodendron spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
5683;tosylchloramide;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4376;tosedostat;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3134;toripalimab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6858;torcetrapib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2684;topiroxostat;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6857;topilutamide;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6317;tonzonium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6316;tonabersat;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6315;tomivosertib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6856;tolufazepam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6855;tolonium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6854;toloconium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2824;tofogliflozin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6852;tofenacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5682;todralazine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3709;tivantinib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5064;tirapazamine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2049;tiragolumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3195;tirabrutinib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3072;tiquizium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
937;tipiracil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3453;tipifarnib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5681;tinostamustine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4630;tinospora spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
3723;tin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3211;timonacic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3865;timiperone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4510;tilsotolimod;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4929;tillandsia spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
6312;tilisolol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4629;tiliquinol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5425;tilia spp;NA;Z;NA;NA;NA;NA;NA;NA;NA;NA
5680;tigatuzumab;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6851;tifacogin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5679;tidiacic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6850;tideglusib;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5919;tibezonium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
