;pt;standard_pt
1064;spinocerebellar ataxia;hereditary ataxia
1065;cupulolithiasis;otolithiasis
1066;renal venous congestion;kidney congestion
1067;critical illness myopathy;intensive care unit acquired weakness
1068;perinephric effusion;perinephric collection
1069;csf bacteria identified;bacterial test positive
1070;localised skin reaction;skin reaction
1071;sacral pain;back pain
1072;rash psoriaform;dermatitis psoriasiform
1073;clear cell carcinoma of the kidney;clear cell renal cell carcinoma
1074;fungus stool identified;fungal test positive
1075;haemodialysis-induced symptom;haemodialysis complication
1076;infantile asthma;childhood asthma
1077;pseudofolliculitis barbae;pseudofolliculitis
1078;eisenmenger's syndrome;right-to-left cardiac shunt
1079;incision site blister;incision site vesicles
1080;epiglottic carcinoma;epiglottic cancer
1081;mycosis fungoides stage ii;cutaneous t-cell lymphoma stage ii
1082;carotid body tumour;paraganglion neoplasm
1083;localised exfoliation;skin exfoliation
1084;vulval erythema;vulvovaginal erythema
1085;congenital cleft hand;ectrodactyly
1086;varicella zoster virus serology positive;varicella virus test positive
1087;acquired haemophilia with anti fviii, xi, or xiii;acquired haemophilia
1088;nephritis autoimmune;autoimmune nephritis
1089;acholia;deficiency of bile secretion
1090;colonic atony;intestinal atony
1091;spinal haemangioma;haemangioma of bone
1092;lymphoma cutis;cutaneous lymphoma
1093;soft tissue cancer;soft tissue sarcoma
1094;eyelid dermatochalasis;dermatochalasis
1095;idh differentiation syndrome;differentiation syndrome
1096;paraesthesia of genital male;genital paraesthesia
1097;lens implant;intraocular lens implant
1098;fungus urine test positive;fungal test positive
1099;mixed receptive-expressive language disorder;language disorder
1100;fungus culture positive;fungal test positive
1101;pseudophakia;intraocular lens implant
1102;ovarian infection;oophoritis
1103;oesophageal adenocarcinoma metastatic;oesophageal adenocarcinoma
1104;perineal laceration;perineal injury
1105;childhood disintegrative disorder;autism spectrum disorder
1106;mycosis fungoides stage i;cutaneous t-cell lymphoma stage i
1107;urine human chorionic gonadotropin positive;human chorionic gonadotropin positive
1108;slipped femoral epiphysis;epiphysiolysis
1109;urethral stricture;urethral stenosis
1110;flat feet;foot deformity
1111;ascites infection;peritonitis
1112;herpetic stomatitis;oral herpes
1113;bleeding peripartum;peripartum haemorrhage
1114;fahr's disease;primary familial brain calcification
1115;pharyngeal candidiasis;oropharyngeal candidiasis
1116;campbell de morgan spots;haemangioma of skin
1117;antibiotic resistant staphylococcus test;staphylococcus test
1118;vulvovaginal hypoaesthesia;genital hypoaesthesia
1119;precancerous lesion;precancerous condition
1120;acquired pyloric stenosis;obstruction gastric
1121;female genital-digestive tract fistula;female genital tract fistula
1122;urine amylase increased;amylase increased
1123;hair plucking;trichotillomania
1124;diverticulum duodenal;diverticulum intestinal
1125;syphilis test positive;treponema test positive
1126;nail tinea;dermatophytosis of nail
1127;sperm count zero;sperm concentration zero
1128;jejunitis;enteritis
1129;paget's disease of the breast;paget's disease of nipple
1130;pigmentation buccal;oral pigmentation
1131;periventricular nodular heterotopia;grey matter heterotopia
1132;auricular perichondritis;perichondritis
1133;jc virus test;jc polyomavirus test
1134;tooth crowding;malpositioned teeth
1135;immunoglobulin g4 related sclerosing disease;immunoglobulin g4 related disease
1136;drug dispensing issue;product dispensing issue
1137;hemiplegia transient;hemiplegia
1138;heat exposure injury;heat illness
1139;death of spouse;death of relative
1140;hypercapnic encephalopathy;hypoxic-ischaemic encephalopathy
1141;gastroenteritis norwalk virus;gastroenteritis norovirus
1142;intermediate uveitis;uveitis
1143;medication crystals in urine;medication crystals in urine present
1144;nutritional support;nutritional supplementation
1145;application site cold feeling;application site coldness
1146;colitis pseudomembranous;pseudomembranous colitis
1147;dural fistula;dural arteriovenous fistula
1148;peritoneal membrane failure;ultrafiltration failure
1149;proctitis infectious;large intestine infection
1150;pseudoepitheliomatous hyperplasia;chronic papillomatous dermatitis
1151;acute focal bacterial nephritis;nephritis bacterial
1152;arterial bypass occlusion;vascular graft occlusion
1153;arteriovenous fistula, acquired;arteriovenous fistula
1154;injection site joint redness;injection site joint erythema
1155;phonological disorder;speech sound disorder
1156;hepatic neoplasm malignant non-resectable;hepatic cancer
1157;upper limb deformity;limb deformity
1158;impingement syndrome;rotator cuff syndrome
1159;cerebral decompression;decompressive craniectomy
1160;back crushing;back injury
1161;drug delivery device removal;medical device removal
1162;orbital pseudotumour;idiopathic orbital inflammation
1163;dystrophia myotonica;myotonic dystrophy
1164;intestinal stoma complication;gastrointestinal stoma complication
1165;neoplasm growth accelerated;neoplasm
1166;death of child;death of relative
1167;gastroenteritis helicobacter;helicobacter gastritis
1168;anti-hbe antibody positive;hepatitis b e antibody positive
1169;atrophy of tongue papillae;atrophic glossitis
1170;genital pain female;genital pain
1171;legionella serology positive;legionella test positive
1172;bloody airway discharge;respiratory tract haemorrhage
1173;insertion of ambulatory peritoneal catheter;peritoneal catheter insertion
1174;radical neck dissection;neck dissection
1175;malignant bowel obstruction;malignant gastrointestinal obstruction
1176;eaton-lambert syndrome;myasthenic syndrome
1177;horseshoe kidney;renal fusion anomaly
1178;sexual offence;sexual abuse
1179;virus urine test positive;viral test positive
1180;lumbar puncture headache;post lumbar puncture syndrome
1181;false negative laboratory result;false negative investigation result
1182;urine phosphate increased;urine phosphorus increased
1183;herpes zoster multi-dermatomal;herpes zoster cutaneous disseminated
1184;t-cell depletion;lymphodepletion
1185;paraesthesia of genital female;genital paraesthesia
1186;radiation exposure;exposure to radiation
1187;alpers' disease;alpers disease
1188;neurilemmoma malignant;neurofibrosarcoma
1189;somatoform disorder neurologic;neurologic somatic symptom disorder
1190;device shape alteration;device physical property issue
1191;stent embolisation;device embolisation
1192;positional plagiocephaly;acquired plagiocephaly
1193;quadranopia;quadrantanopia
1194;absent bowel movement;constipation
1195;scrotal varicose veins;varicocele
1196;omentum neoplasm;mesenteric neoplasm
1197;parasitic infection intestinal;parasitic gastroenteritis
1198;pulmonary coccidioides;coccidioidomycosis
1199;dermatofibrosarcoma;dermatofibrosarcoma protuberans
1200;nuclear magnetic resonance imaging thoracic abnormal;magnetic resonance imaging thoracic abnormal
1201;extrusion of device;device extrusion
1202;hepatic neoplasm malignant resectable;hepatic cancer
1203;acid fast stain positive;mycobacterium test positive
1204;podagra;gout
1205;urine protein, quantitative;protein urine
1206;distal ileal obstruction syndrome;distal intestinal obstruction syndrome
1207;pedal pulse absent;pulse absent
1208;moderate mental retardation;intellectual disability
1209;early menarche;premature menarche
1210;mesenteric lymphadenopathy;abdominal lymphadenopathy
1211;neuron-specific enolase increased;neurone-specific enolase increased
1212;pseudocroup;subglottic laryngitis
1213;benign colonic polyp;large intestine polyp
1214;genital pruritus male;pruritus genital
1215;desquamation mouth;oral mucosal exfoliation
1216;haemopneumothorax;traumatic haemothorax
1217;lung cyst benign;lung cyst
1218;hypertrophic obstructive cardiomyopathy;hypertrophic cardiomyopathy
1219;lesion of sciatic nerve;peripheral nerve lesion
1220;descemet's membrane disorder;corneal disorder
1221;amputation revision;amputation
1222;blood amino acid level increased;amino acid level increased
1223;isolated adrenocorticotropic hormone deficiency;adrenocorticotropic hormone deficiency
1224;severe mental retardation;intellectual disability
1225;herpes simplex dna test positive;herpes simplex test positive
1226;cluttering;logorrhoea
1227;schizophrenia, undifferentiated type;schizophrenia
1228;acrodermatitis;dermatitis
1229;anal fistula excision;anal fistula repair
1230;penicilliosis;penicillium infection
1231;intestinal t-cell lymphoma;enteropathy-associated t-cell lymphoma
1232;analgesia;analgesic therapy
1233;nuclear magnetic resonance imaging brain;magnetic resonance imaging head
1234;buttock crushing;buttock injury
1235;intestinal hypermotility;gastrointestinal hypermotility
1236;labour onset delayed;prolonged pregnancy
1237;implant expulsion;device expulsion
1238;fundoplication;oesophagogastric fundoplasty
1239;chlamydia serology positive;chlamydia test positive
1240;thelitis;nipple inflammation
1241;ventriculoperitoneal shunt malfunction;device malfunction
1242;sperm count abnormal;sperm concentration abnormal
1243;leukocyte antigen b-27 positive;hla-b*27 positive
1244;thalassaemia trait;thalassaemia minor
1245;epidermal growth factor receptor increased;human epidermal growth factor receptor increased
1246;erb's palsy;injury to brachial plexus due to birth trauma
1247;spastic diplegia;diplegia
1248;panic disorder without agoraphobia;panic disorder
1249;tay-sachs disease;gm2 gangliosidosis
1250;urobilin urine;urobilinogen urine
1251;ex-smoker;ex-tobacco user
1252;spondylolisthesis acquired;spondylolisthesis
1253;retropharyngeal abscess;pharyngeal abscess
1254;bilateral hydronephrosis;hydronephrosis
1255;rebound hypertension;withdrawal hypertension
1256;electrocardiogram qt corrected interval;electrocardiogram qt interval
1257;vaginitis atrophic;atrophic vulvovaginitis
1258;urinary bladder excision;urinary cystectomy
1259;bladder neck sclerosis;bladder stenosis
1260;diuretic effect;polyuria
1261;korsakoff's psychosis non-alcoholic;korsakoff's syndrome
1262;laryngotracheo bronchitis;tracheobronchitis
1263;phobia of flying;aerophobia
1264;double vessel bypass graft;coronary artery bypass
1265;corneal staining;vital dye staining cornea present
1266;artificial anus;enterostomy
1267;ear abrasion;skin abrasion
1268;death of parent;death of relative
1269;duodenal scarring;gastrointestinal scarring
1270;respiratory sighs;respiration abnormal
1271;malignant soft tissue neoplasm;soft tissue sarcoma
1272;septoplasty;nasal septal operation
1273;dermoid cyst of ovary;ovarian germ cell teratoma benign
1274;stereotypic movement disorder;stereotypy
1275;solar elastosis;actinic elastosis
1276;somatoform disorder cardiovascular;cardiovascular somatic symptom disorder
1277;senile ankylosing vertebral hyperostosis;diffuse idiopathic skeletal hyperostosis
1278;microvascular angina;microvascular coronary artery disease
1279;venipuncture site swelling;vessel puncture site swelling
1280;extrinsic vascular compression;vascular compression
1281;inappropriate device programming;device programming error
1282;vulval laceration;vulvovaginal injury
1283;nail bed infection fungal;onychomycosis
1284;nonketotic hyperglycinaemia;hyperglycinaemia
1285;complication of drug implant insertion;implantation complication
1286;nictitating spasm;blepharospasm
1287;genital pain male;genital pain
1288;atrial bigeminy;supraventricular extrasystoles
1289;ventricular wall thickening;ventricular hypertrophy
1290;gastrointestinal mucositis;gastrointestinal inflammation
1291;cardiac pacemaker revision;cardiac pacemaker insertion
1292;parapharyngeal abscess;parapharyngeal space infection
1293;hyperdynamic precordium;hyperdynamic left ventricle
1294;intestinal stoma site bleeding;stoma site haemorrhage
1295;apert's syndrome;acrocephalosyndactyly
1296;peridiverticulitis;diverticulitis
1297;infected epidermal cyst;infected dermal cyst
1298;borrelia burgdorferi serology positive;borrelia test positive
1299;radioulnar synostosis;elbow synostosis
1300;arteritis obliterans;thromboangiitis obliterans
1301;degeneration of uterine fibroid;uterine leiomyoma
1302;oesophageal stent insertion;oesophageal prosthesis insertion
1303;wart excision;papilloma excision
1304;aspiration biopsy;diagnostic aspiration
1305;nuclear magnetic resonance imaging breast abnormal;magnetic resonance imaging breast abnormal
1306;compression stockings application;compression garment application
1307;cystosarcoma phyllodes;phyllodes tumour
1308;profound mental retardation;intellectual disability
1309;arachnophobia;animal phobia
1310;glomus jugulare tumour;paraganglion neoplasm
1311;carotid artery calcification;carotid arteriosclerosis
1312;polyneuropathy toxic;toxic neuropathy
1313;megacolon acquired;megacolon
1314;obstructive chronic bronchitis with acute exacerbation;obstructive airways disorder
1315;amniotic fluid embolus;anaphylactoid syndrome of pregnancy
1316;postoperative constipation;post procedural constipation
1317;atherosclerosis obliterans;peripheral arterial occlusive disease
1318;optic nerve glioma;optic glioma
1319;epithelioma;neoplasm
1320;headache postoperative;procedural headache
1321;hepatitis a virus;hepatitis a virus test
1322;cervical stricture;uterine cervix stenosis
1323;polyomavirus interstitial nephritis;polyomavirus-associated nephropathy
1324;analgesic effect;analgesic therapy
1325;gastrooesophageal heterotopia;ectopic gastric mucosa
1326;instillation site abnormal sensation;instillation site paraesthesia
1327;anti-ss-b antibody positive;antinuclear antibody positive
1328;weight below normal;weight decreased
1329;malignant hepatobiliary neoplasm;hepatobiliary cancer
1330;nuclear magnetic resonance imaging abdominal abnormal;magnetic resonance imaging abdominal abnormal
1331;stent-graft malfunction;stent malfunction
1332;violent ideation;violence-related symptom
1333;vertebral abscess;bone abscess
1334;microdactyly;brachydactyly
1335;schizophrenia, residual type;schizophrenia
1336;digital ulcer;skin ulcer
1337;achilles tendon discomfort;tendon discomfort
1338;structural valve deterioration;device malfunction
1339;clostridium difficile toxin test;clostridium test
1340;bacteria tissue specimen identified;bacterial test positive
1341;laryngotracheitis;tracheitis
1342;injection site pigmentation changes;injection site discolouration
1343;genitalia external painful;genital pain
1344;nitritoid crisis;nitritoid reaction
1345;optic tract glioma;optic glioma
1346;pacing threshold increased;device pacing issue
1347;atrioventricular canal;atrioventricular septal defect
1348;faecal occult blood;occult blood
1349;intranasal numbness;intranasal hypoaesthesia
1350;uterine synechiae;uterine adhesions
1351;electrocardiogram qt corrected interval shortened;electrocardiogram qt shortened
1352;buccal cavity papilloma;oral papilloma
1353;atrioventricular extrasystoles;supraventricular extrasystoles
1354;coxsackie virus serology test positive;coxsackie virus test positive
1355;bladder constriction;bladder stenosis
1356;epididymal infection;epididymitis
1357;urine cytomegalovirus positive;cytomegalovirus test positive
1358;virus culture positive;viral test positive
1359;bacteria body fluid identified;bacterial test positive
1360;paraneoplastic cerebellar degeneration;secondary cerebellar degeneration
1361;rett's disorder;rett syndrome
1362;urine cotinine test positive;nicotine test positive
1363;japan coma scale abnormal;coma scale abnormal
1364;chlamydia identification test positive;chlamydia test positive
1365;extranodal nk/t-cell lymphoma, nasal type;angiocentric lymphoma
1366;lipomatous hypertrophy of the interatrial septum;cardiac steatosis
1367;degeneration of uterine leiomyoma;uterine leiomyoma
1368;hiv disease progression;hiv infection
1369;colonic perforation postoperative;procedural intestinal perforation
1370;nuclear magnetic resonance imaging abdominal;magnetic resonance imaging abdominal
1371;leg crushing;limb crushing injury
1372;nodding of head;head titubation
1373;retinoblastoma unilateral;retinoblastoma
1374;herpetic gingivostomatitis;oral herpes
1375;idiopathic capillaritis;capillaritis
1376;bronchitis acute viral;bronchitis viral
1377;cervical spasm;muscle spasms
1378;radial tunnel syndrome;radial nerve compression
1379;thymus hypertrophy;thymus enlargement
1380;comedone;acne
1381;male pattern baldness;androgenetic alopecia
1382;pneumothorax spontaneous tension;pneumothorax spontaneous
1383;white blood cell analysis decreased;white blood cell analysis abnormal
1384;death of sibling;death of relative
1385;encephalitis post measles;subacute sclerosing panencephalitis
1386;cerebral parenchymal calcification;cerebral calcification
1387;anxiety postoperative;procedural anxiety
1388;fungal dna test positive;fungal test positive
1389;pseudoexfoliation of lens capsule;exfoliation syndrome
1390;retinoblastoma bilateral;congenital retinoblastoma
1391;fibroadenoma;adenoma benign
1392;vascular malformation peripheral;vascular malformation
1393;urine phosphate decreased;urine phosphorus decreased
1394;joint reconstruction;joint arthroplasty
1395;intravenous catheter management;catheter management
1396;hypoaesthesia of genital male;genital hypoaesthesia
1397;genital neoplasm malignant male;genital cancer male
1398;bacteria cervical specimen identified;bacterial test positive
1399;stent related infection;device related infection
1400;ileorectal fistula;fistula of small intestine
1401;white blood cell analysis increased;white blood cell analysis abnormal
1402;tumour local invasion;tumour invasion
1403;limb salvage therapy;limb reconstructive surgery
1404;lung wedge resection;pulmonary resection
1405;mucinous cystadenocarcinoma of pancreas;cystadenocarcinoma pancreas
1406;spitzoid melanoma;naevoid melanoma
1407;artificial insemination by partner;artificial insemination
1408;oncogenic osteomalacia;hypophosphataemic osteomalacia
1409;carbon monoxide diffusing capacity;lung diffusion test
1410;magnetic resonance imaging brain;magnetic resonance imaging head
1411;hypersplenism acquired;hypersplenism
1412;paraesthesia circumoral;paraesthesia oral
1413;dacryocystitis infective;dacryocystitis
1414;gum neoplasm malignant stage unspecified;gingival cancer
1415;pleura carcinoma;malignant neoplasm of pleura
1416;lip sloughing;lip exfoliation
1417;retinal microaneurysms;retinal aneurysm
1418;mycobacteria blood test positive;mycobacterium test positive
1419;popliteal stenosis;peripheral artery stenosis
1420;emphysematous bulla;emphysema
1421;rectal cramps;rectal spasm
1422;ruptured diverticulum of colon;large intestine perforation
1423;tongue desquamation;tongue exfoliation
1424;brachial plexus lesion;brachial plexopathy
1425;bacterial antigen positive;bacterial test positive
1426;douglas' pouch effusion;pelvic fluid collection
1427;relapsing polychondritis;polychondritis
1428;single vessel bypass graft;coronary artery bypass
1429;nail growth cessation;nail growth abnormal
1430;gastric cancer stage iv with metastases;gastric cancer stage iv
1431;bacterial dna test positive;bacterial test positive
1432;naevus cell naevus;melanocytic naevus
1433;myringoplasty;tympanoplasty
1434;urine amino acid level increased;amino acid level increased
1435;vater syndrome;vacterl syndrome
1436;blood amylase;amylase
1437;venous lake;haemangioma of skin
1438;urine human chorionic gonadotropin increased;human chorionic gonadotropin increased
1439;5q-syndrome;5q minus syndrome
1440;ureteric diversion operation;urostomy
1441;anti-hbc igm antibody positive;hepatitis b core antibody positive
1442;low tension glaucoma;normal tension glaucoma
1443;bacteria wound identified;bacterial test positive
1444;intraocular lens extraction;lens extraction
1445;peptic ulcer reactivated;peptic ulcer
1446;perforated duodenal ulcer repair;duodenal ulcer repair
1447;prostatic intraepithelial neoplasia;prostatic dysplasia
1448;allergenic desensitisation procedure;immune tolerance induction
1449;indwelling catheter management;catheter management
1450;nuclear magnetic resonance imaging brain normal;magnetic resonance imaging head normal
1451;intraocular lens dislocation;device dislocation
1452;pancreatic carcinoma non-resectable;pancreatic carcinoma
1453;glasgow coma scale;coma scale
1454;minor cognitive motor disorder;cognitive disorder
1455;paraoesophageal abscess;oesophageal abscess
1456;mycosis fungoides refractory;cutaneous t-cell lymphoma refractory
1457;trapezectomy;trapeziectomy
1458;mycosis fungoides stage iii;cutaneous t-cell lymphoma stage iii
1459;enteral feeding intolerance;feeding intolerance
1460;electrocardiogram pq interval shortened;electrocardiogram pr shortened
1461;behavioral addiction;behavioural addiction
1462;postoperative hypotension;post procedural hypotension
1463;mycobacteria urine test positive;mycobacterium test positive
1464;cervical vertebra injury;spinal column injury
1465;osteosarcoma localised;osteosarcoma
1466;congenital cardiac septal defect;cardiac septal defect
1467;endometrioma;endometriosis
1468;embolectomy;thromboembolectomy
1469;malignant omentum neoplasm;malignant mesenteric neoplasm
1470;dissecting coronary artery aneurysm;coronary artery dissection
1471;iritic melanoma;iris melanoma
1472;painful response to normal stimuli;allodynia
1473;vaginal hysterectomy;hysterectomy
1474;renal artery atherosclerosis;renal artery arteriosclerosis
1475;hypoactive sexual desire disorder;libido decreased
1476;death of friend;death of companion
1477;pain trauma activated;post-traumatic pain
1478;chemical abuser;substance abuser
1479;trichophyton infection;trichophytosis
1480;physical testicle examination abnormal;male genital examination abnormal
1481;orthopedic examination abnormal;orthopaedic examination abnormal
1482;mycobacterium kansasii pneumonia;atypical mycobacterial pneumonia
1483;kaolin cephalin clotting time abnormal;activated partial thromboplastin time abnormal
1484;colposuspension;urinary bladder suspension
1485;multiple endocrine adenomatosis type i;multiple endocrine neoplasia type 1
1486;urine human chorionic gonadotropin abnormal;human chorionic gonadotropin abnormal
1487;neurological complication from device;neurological complication associated with device
1488;foetal tobacco exposure;foetal exposure during pregnancy
1489;mixed oligo-astrocytoma;oligoastrocytoma
1490;intra-uterine contraceptive device;intrauterine contraception
1491;choroidal naevus;eye naevus
1492;bile duct t-tube insertion;biliary catheter insertion
1493;de lange's syndrome;cornelia de lange syndrome
1494;food hoarding;compulsive hoarding
1495;radiation exposure during pregnancy;exposure during pregnancy
1496;transfusion-transmitted infectious disease;transmission of an infectious agent via product
1497;eventration procedure;eventration repair
1498;posterior capsulotomy;posterior lens capsulotomy
1499;myringitis bullous;myringitis
1500;schizophrenia simple;schizophrenia
1501;hy's law case;drug-induced liver injury
1502;ventricular remodeling;ventricular remodelling
1503;internal carotid artery kinking;internal carotid artery deformity
1504;autoimmune progesterone dermatitis;autoimmune dermatitis
1505;nuclear magnetic resonance imaging heart;magnetic resonance imaging heart
1506;biliary stent placement;bile duct stent insertion
1507;reaction to drug preservatives;reaction to preservatives
1508;desquamation gingival;oral mucosal exfoliation
1509;autistic disorder;autism spectrum disorder
1510;cerebral perfusion pressure decreased;cerebral hypoperfusion
1511;feeding problem in child;poor feeding infant
1512;gastrectomy partial;gastrectomy
1513;lymphocytic dermatitis;perivascular dermatitis
1514;jaw inflammation;osteitis
1515;proctalgia fugax;levator syndrome
1516;caput medusae;varicose veins of abdominal wall
1517;lumbar vertebra injury;spinal column injury
1518;fitz-hugh-curtis syndrome;perihepatitis
1519;verbally abused;victim of abuse
1520;lesion of ulnar nerve;peripheral nerve lesion
1521;cervical gland tuberculosis;lymph node tuberculosis
1522;joint ligament rupture;ligament rupture
1523;craniopharyngioma benign;craniopharyngioma
1524;calcification pancreatic duct;pancreatic calcification
1525;parotid duct cyst;salivary gland cyst
1526;oddi's sphincter constriction;sphincter of oddi dysfunction
1527;dapsone syndrome;drug reaction with eosinophilia and systemic symptoms
1528;supraclavicular retraction;use of accessory respiratory muscles
1529;medium-chain acetyl-coenzyme a dehydrogenase deficiency;medium-chain acyl-coenzyme a dehydrogenase deficiency
1530;nervous system surgery;neurosurgery
1531;teratoma of testis;testicular malignant teratoma
1532;alpha 1 microglobulin urine increased;alpha 1 microglobulin increased
1533;post procedural dizziness;procedural dizziness
1534;fungus body fluid identified;fungal test positive
1535;branchial cleft cyst;branchial cyst
1536;cardiac neurosis;cardiovascular somatic symptom disorder
1537;knee meniscectomy;meniscus removal
1538;uterus evacuation;uterine dilation and evacuation
1539;nuclear magnetic resonance imaging normal;magnetic resonance imaging normal
1540;meningoencephalitis adenoviral;adenoviral encephalitis
1541;suprapubic catheter insertion;bladder catheterisation
1542;paracentesis abdomen;abdominal cavity drainage
1543;median nerve lesion;peripheral nerve lesion
1544;revision of internal fixation;internal fixation of fracture
1545;somatoform disorder gastrointestinal;gastrointestinal somatic symptom disorder
1546;korsakoff's psychosis alcoholic;korsakoff's syndrome
1547;liver and small intestine transplant;multivisceral transplantation
1548;erythema nodosum leprosum;type 2 lepra reaction
1549;cryptococcus antigen positive;cryptococcus test positive
1550;malignant neoplasm of auricular cartilage;external ear neoplasm malignant
1551;nuclear magnetic resonance imaging spinal cord abnormal;magnetic resonance imaging spinal abnormal
1552;pleural mesothelioma malignant advanced;pleural mesothelioma malignant
1553;implantable pleural catheter insertion;chest tube insertion
1554;diabetic arthropathy;neuropathic arthropathy
1555;melanomatous meningitis;metastases to meninges
1556;corneoconjunctival intraepithelial neoplasia;ocular surface squamous neoplasia
1557;minimal hepatic encephalopathy;hepatic encephalopathy
1558;arterial bypass thrombosis;vascular graft thrombosis
1559;left atrial appendage occlusion;atrial appendage closure
1560;mek inhibitor-associated serous retinopathy;serous retinopathy
1561;mycobacteria sputum test positive;mycobacterium test positive
1562;epstein-barr virus serology;epstein-barr virus test
1563;blindness hysterical;psychogenic blindness
1564;thrombophlebitis pelvic vein;pelvic venous thrombosis
1565;uterine adenocarcinoma;uterine cancer
1566;feeding tube insertion;gastrointestinal tube insertion
1567;fungus csf test positive;fungal test positive
1568;facial hemiatrophy;progressive facial hemiatrophy
1569;pervasive developmental disorder;autism spectrum disorder
1570;intestinal anastomotic leak;gastrointestinal anastomotic leak
1571;htlv-1 antibody positive;htlv-1 test positive
1572;suture line infection;postoperative wound infection
1573;intranasal fungal infection;fungal rhinitis
1574;virus stool test positive;viral test positive
1575;necrosis of bronchioli;necrotising bronchiolitis
1576;abdominal hysterectomy;hysterectomy
1577;congenital pyloric stenosis;pyloric stenosis
1578;bacteria urine no organism observed;bacterial test negative
1579;total hysterectomy;hysterectomy
1580;ear operation complication;ear procedural complication
1581;implant obstruction;device occlusion
1582;normal pregnancy;pregnancy
1583;abdominal aortic bruit;aortic bruit
1584;mycobacteria tissue specimen test positive;mycobacterium test positive
1585;uterine cervix hypertrophy;cervix enlargement
1586;bladder suspension;urinary bladder suspension
1587;mediastinal infection;mediastinitis
1588;vaginal contraceptive device complication;complication associated with device
1589;carcinoma excision;cancer surgery
1590;word salad;disorganised speech
1591;cystourethrocele;cystocele
1592;situs ambiguous;heterotaxia
1593;abdominal obesity;central obesity
1594;carcinoma in situ of bladder;bladder cancer stage 0, with cancer in situ
1595;ankle reconstruction;ankle arthroplasty
1596;tendon repair;tenoplasty
1597;electrocardiogram pq interval;electrocardiogram pr interval
1598;gallstones in bile duct removal;choledocholithotomy
1599;urine phosphate abnormal;urine phosphorus abnormal
1600;sex differentiation abnormal;disorder of sex development
1601;meningeal leukaemia;central nervous system leukaemia
1602;epstein-barr virus serology positive;epstein-barr virus test positive
1603;vesical tenesmus;bladder spasm
1604;artificial insemination by donor;artificial insemination
1605;situs inversus;heterotaxia
1606;paralytic gait;gait spastic
1607;helicobacter pylori identification test;helicobacter test
1608;dacryocanaliculitis infective;dacryocanaliculitis
1609;paget's disease of skin;extramammary paget's disease
1610;failure to capture;device capturing issue
1611;inappropriate device signal detection;device signal detection issue
1612;drug implant rejection;patient-device incompatibility
1613;mesomelia;limb reduction defect
1614;defibrillation threshold increased;device pacing issue
1615;pulmonary percussion test abnormality;pulmonary physical examination abnormal
1616;senile genital atrophy;genital atrophy
1617;enterectomy;intestinal resection
1618;vulva injury;vulvovaginal injury
1619;herpes simplex serology negative;herpes simplex test negative
1620;hodgkin's disease nodular sclerosis stage i site unspecified;hodgkin's disease nodular sclerosis stage i
1621;delusions, mixed;mixed delusion
1622;elevated pacing threshold;device pacing issue
1623;nail bed injury;nail injury
1624;pyelogram retrograde;urogram
1625;inappropriate device therapy;device use issue
1626;orthodontic appliance complication;complication associated with device
1627;radiography guided aspiration;diagnostic aspiration
1628;stent malapposition;stent malfunction
1629;bone oedema;bone marrow oedema
1630;cerebral revascularisation synangiosis;cerebral revascularisation
1631;diabetic cheiropathy;diabetic cheiroarthropathy
1632;trochanteric syndrome;bursitis
1633;malignant myopia;pathologic myopia
1634;cardiac enzymes;myocardial necrosis marker
1635;photalgia;photophobia
1636;cervical rib;supernumerary rib
1637;thoracic spine flattening;spinal flattening
1638;multiple hereditary exostosis;hereditary multiple osteochondromas
1639;drug administration monitoring procedure incorrectly performed;drug monitoring procedure incorrectly performed
1640;in-stent arterial stenosis;vascular stent stenosis
1641;product raw material issue;manufacturing materials issue
1642;parasitic lung infection;parasitic pneumonia
1643;epidural empyema;extradural abscess
1644;enterovirus serology test positive;enterovirus test positive
1645;pre-auricular sinus congenital;preauricular cyst
1646;juvenile pilocytic astrocytoma;astrocytoma, low grade
1647;venipuncture site reaction;vessel puncture site reaction
1648;thromboendarterectomy;endarterectomy
1649;corneal bleb;corneal epithelial microcysts
1650;superinfection oral;oral infection
1651;unequal leg length acquired;limb asymmetry
1652;renal granular cell carcinoma;renal cell carcinoma
1653;adrenal cortex atrophy;adrenal atrophy
1654;nickel sensitivity;allergy to metals
1655;immobilization prolonged;immobilisation prolonged
1656;gastric hyperplasia;gastric mucosal hypertrophy
1657;aorto-iliac arterial stenosis;aortic stenosis
1658;haematometra;uterine haemorrhage
1659;thoracic vertebra injury;spinal column injury
1660;hypothyroidism postoperative;post procedural hypothyroidism
1661;radiofrequency ablation;high frequency ablation
1662;ureteric reimplantation;vesicoureteral reflux surgery
1663;epidemic nephropathy;haemorrhagic fever with renal syndrome
1664;venipuncture site haemorrhage;vessel puncture site haemorrhage
1665;crushing injury of hip;limb crushing injury
1666;benign gastric polyp;gastric polyps
1667;urography abnormal;urogram abnormal
1668;mesenteric atherosclerosis;mesenteric arteriosclerosis
1669;pelvic muscles inadequate;pelvic floor muscle weakness
1670;adherent leukoma;corneal leukoma
1671;bacterial culture;bacterial test
1672;post-traumatic syndrome;post concussion syndrome
1673;congenital macrocephaly;macrocephaly
1674;kaolin cephalin clotting time shortened;activated partial thromboplastin time shortened
1675;thalamic syndrome;central pain syndrome
1676;salivary gland hypertrophy;salivary gland enlargement
1677;anti-hbc antibody;hepatitis b core antibody
